sedalea,sedaleaname,fips,stateabb,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesavgall,sesavgasn,sesavgblk,sesavghsp,sesavgnam,sesavgwht,sesavgwhtblk,sesavgwhthsp,lninc50avgall,baplusavgall,unempavgall,snapavgall,povertyavgall,single_momavgall,lninc50avgasn,baplusavgasn,unempavgasn,snapavgasn,povertyavgasn,single_momavgasn,lninc50avgblk,baplusavgblk,unempavgblk,snapavgblk,povertyavgblk,single_momavgblk,lninc50avghsp,baplusavghsp,unempavghsp,snapavghsp,povertyavghsp,single_momavghsp,lninc50avgnam,baplusavgnam,unempavgnam,snapavgnam,povertyavgnam,single_momavgnam,lninc50avgwht,baplusavgwht,unempavgwht,snapavgwht,povertyavgwht,single_momavgwht,sesavgwhtasn,sesavgwhtnam,urbanicity
3016110,LaMotte Elementary,30,MT,Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.212121,.0020202021,.0086802086,.0040404042,0,.98525918,.16465925,.096262999,.26092225,0,0,.095184498,43.27272727272727,,,,0,,1.9202005e-08,-2.9128864e-09,,,0,0,,,0,0,0,1.588328,,,,,1.5473825,,,11.114481,.52153659,.027632019,.066665985,.081127822,.055742636,,,,,,,,,,,,,,,,,,,,,,,,,11.100562,.53259331,.030910788,.063428216,.080904417,.063402973,,,Rural
3016200,Laurel Elementary,30,MT,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,153.16667,.022121532,.0039774738,.036814354,.0082197851,.91535681,.24766906,.081634209,.32930326,.39635563,.0027251581,.12482274,919,0,0,0,0,-2.3496181e-09,4.7463233e-09,2.9851097e-09,-1.7249274e-09,0,0,0,0,0,0,0,0,.85510725,,,,,.92119712,,,10.936653,.2224303,.030877458,.064163499,.08166106,.11094539,,,,,,,,,,,,,,,,,,,,,,,,,10.960272,.22752014,.032326557,.05430375,.073179916,.11235689,,,Town
3016290,Lavina K-12 Schools,30,MT,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.3939395,.038686093,0,.048026074,0,.87604725,.42544526,.16853757,.59398282,.64933521,0,.22644457,32.36363636363637,,0,0,,,-2.4207104e-08,3.5832122e-09,4.2369694e-09,,0,0,0,,0,0,,-.0091213416,,,,,.073642612,,,10.504542,.23255108,.064181611,.11304867,.15648913,.13240819,,,,,,,,,,,,,,,,,,,,,,,,,10.494215,.23300162,.059341621,.10838708,.12540707,.12702261,,,Rural
3016490,Lewistown Elementary,30,MT,Pre-Kindergarten,12,0,0,.78398043,.2160196,0,0,0,0,0,0,0,0,.78398043,.2160196,0,0,90.242424,.020266162,.0085850349,.023376793,.0061439131,.93267238,.31453046,.12049181,.43502226,.43681169,.0013778213,.14773488,541.4545454545455,0,0,0,0,-3.9893742e-09,-3.0376215e-10,-1.0771801e-08,3.2613416e-09,0,0,0,0,0,0,0,0,.50959647,,,,,.51159036,,,10.628743,.27436343,.034855306,.08633519,.1353015,.10230523,,,,,,,,,,,,,,,,,,,,,,,,,10.653674,.27613053,.036730293,.086712152,.13236824,.10737821,,,Town
3016530,Libby K-12 Schools,30,MT,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,86.86364,.015517427,.012828395,.033371352,.0033772977,.90641558,.48679712,.086104274,.57290137,.61685538,.0039299494,.077836424,521.1818181818181,0,0,0,0,8.9014822e-09,-6.2351284e-09,-1.6267461e-09,1.1192003e-09,0,0,0,0,0,0,0,0,-.44921243,,,,,-.3957184,,,10.444071,.17841971,.10095567,.15853505,.16318071,.12141792,,,,,,,,,,,,,,,,,,,,,,,,,10.430587,.17986068,.089806765,.15441158,.15639111,.11965581,,,Town
3016710,Lima K-12 Schools,30,MT,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.590909,.0062448815,0,.032954071,.024910612,.93589044,.46067443,.20579246,.66646689,.63766563,0,.17238559,27.54545454545455,0,0,0,,-2.6594360e-09,2.0964459e-09,3.8810062e-09,1.0215048e-08,0,0,0,0,0,0,0,,.33396262,,,,,.52808958,,,10.466105,.20346916,.04471324,.088013642,.14686607,.084788606,,,,,,,,,,,,,,,,,,,,,,,,,10.497706,.21568766,.038680587,.076425172,.11948196,.069484554,,,Rural
3016810,Lincoln K-12 Schools,30,MT,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.924242,.042058632,.01283954,.022549067,.025889963,.89112413,.55400032,.10110178,.65510207,.72099274,.00466746,.24601056,59.54545454545455,0,0,0,0,-2.0655224e-09,5.5921006e-09,3.1132105e-10,6.8181749e-09,0,0,0,0,0,0,0,0,.4313513,,,,,.53707606,,,10.496976,.16488849,.02639018,.070262335,.1383591,.094976015,,,,,,,,,,,,,,,,,,,,,,,,,10.524884,.15993899,.031154132,.059762582,.11760364,.085831471,,,Rural
3016880,Livingston Elementary,30,MT,Pre-Kindergarten,12,0,0,.99739915,.0026008273,0,0,0,0,0,0,0,0,.99739915,0,0,.0026008273,104.98485,.013159201,.0016305867,.042271838,.001451666,.91605711,.34785402,.10281339,.45066741,.46831748,.0020189127,.1344132,629.9090909090909,.0017041729,.0028089257,.004096325,.004827477,.0013643345,.0059392662,.00047770079,.0048065698,.000085713138,.00096280657,.00059980125,.0053479951,.00031154521,.0011624111,.0019993032,.0033899492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Town
3016950,Lockwood Elementary,30,MT,Pre-Kindergarten,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129.40909,.070418328,.0049309088,.078076288,.0092476336,.81393743,.35272962,.11268165,.46541128,.48957846,.00075497507,.13376375,776.4545454545455,0,0,0,0,-2.9327591e-09,3.7316088e-09,-1.9395563e-09,8.1233748e-10,0,0,0,0,0,0,0,0,.56368238,,,,,.71831816,,,10.912359,.20274664,.04172859,.088040352,.10708685,.13605495,,,,,,,,,,,,,,,,,,,,,,,,,10.930949,.20672315,.038130134,.07626763,.092372328,.11870968,,,Suburb
3017010,Lodge Grass Elementary,30,MT,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,22.287878,.98808652,.00073909829,.0043534832,0,.0068208994,.92448002,.055120323,.97960031,.99662745,.61367929,.12446358,133.7272727272727,,0,0,,,1.4285177e-08,-6.0141883e-09,2.3790975e-08,,0,0,0,,0,0,,-1.6906757,,,,-2.2192001,.5668565,,,10.760984,.16404061,.13025966,.17766491,.23102112,.27378067,,,,,,,,,,,,,,,,,,,10.733676,.14930733,.27026713,.24247035,.2798402,.35607651,10.842145,.23326318,.050710425,.045801636,.12051516,.10980514,,2.6115792,Rural
3017130,Lolo Elementary,30,MT,Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,64.090912,.016061649,.004025172,.034968857,.011358564,.9179278,.31493777,.10368998,.41862774,.473068,.0049200719,.13880135,384.5454545454546,0,0,0,0,-7.7204279e-09,-2.9939939e-10,2.6862794e-09,5.2083225e-12,0,0,0,0,0,0,0,0,.80495167,,,,,.81667012,,,10.912962,.3329297,.043630157,.084218852,.082450725,.13102326,,,,,,,,,,,,,,,,,,,,,,,,,10.912221,.33950672,.044366576,.0833975,.082897134,.12513986,,,Rural
